2025-12-28 15:01:57,204 | INFO | Starting pipeline...
2025-12-28 15:01:57,204 | INFO | Extracting raw data...
2025-12-28 15:01:57,214 | INFO | Cleaning datasets...
2025-12-28 15:01:57,221 | INFO | Running data quality checks...
2025-12-28 15:01:57,223 | INFO | Writing staging parquet files...
2025-12-28 15:01:57,250 | INFO | DONE: staging parquet files created in data/processed/
2026-01-02 12:08:14,306 | INFO | Starting pipeline...
2026-01-02 12:08:14,306 | INFO | Extracting raw data...
2026-01-02 12:08:14,338 | INFO | Cleaning datasets...
2026-01-02 12:08:14,354 | INFO | Running data quality checks...
2026-01-02 12:08:14,354 | INFO | Writing staging parquet files...
2026-01-02 12:08:14,447 | INFO | DONE: staging parquet files created in data/processed/
2026-01-02 12:08:30,765 | INFO | Starting pipeline...
2026-01-02 12:08:30,765 | INFO | Extracting raw data...
2026-01-02 12:08:30,777 | INFO | Cleaning datasets...
2026-01-02 12:08:30,785 | INFO | Running data quality checks...
2026-01-02 12:08:30,789 | INFO | Writing staging parquet files...
2026-01-02 12:08:30,825 | INFO | DONE: staging parquet files created in data/processed/
